0,977,132,980,135
0,981,183,985,189
0,880,184,891,193
0,1675,185,1687,194
0,1349,195,1352,197
0,474,207,481,215
0,553,211,560,217
0,1478,227,1482,231
0,914,231,921,238
0,1319,231,1328,239
0,1043,242,1046,246
0,1093,242,1099,250
0,1094,251,1098,254
0,1357,257,1366,264
0,398,272,402,276
0,535,279,540,283
0,797,286,809,297
0,1121,288,1126,291
0,1221,299,1228,306
0,1570,306,1573,309
0,574,308,577,312
0,750,313,761,320
0,1457,318,1465,326
0,1154,362,1161,371
0,955,365,963,373
0,1337,372,1340,376
0,1508,383,1513,391
0,979,384,984,390
0,868,390,873,398
0,543,397,545,401
0,1037,422,1043,432
0,1080,426,1085,430
0,1214,437,1217,442
0,1220,437,1222,441
0,944,441,947,445
0,1319,442,1324,447
0,391,449,398,458
0,324,456,330,461
0,845,457,849,460
0,656,465,662,472
0,744,470,754,478
0,1028,470,1033,474
0,1018,488,1022,493
0,1447,494,1452,500
0,1329,505,1332,511
0,758,513,767,520
0,454,521,468,531
0,1148,521,1159,531
0,1664,520,1670,525
0,1237,526,1242,530
0,878,531,882,536
0,445,545,450,553
0,1128,551,1146,568
0,1076,555,1081,558
0,1592,556,1599,565
0,510,559,515,564
0,757,565,766,571
0,970,567,974,570
0,1442,580,1453,588
0,1454,581,1464,590
0,1525,583,1531,587
0,1263,586,1273,593
0,1121,588,1129,593
0,1345,599,1355,609
0,404,624,408,627
0,649,624,653,629
0,1142,654,1145,657
0,910,662,913,665
0,494,666,501,674
0,1116,667,1121,670
0,1546,669,1550,675
0,1054,671,1059,678
0,1171,699,1178,705
0,968,700,973,704
0,1305,704,1315,713
0,978,707,982,712
0,653,718,661,728
0,1199,728,1211,741
0,561,732,571,737
0,1014,734,1023,742
0,1422,734,1427,739
0,978,738,986,743
0,1203,746,1212,751
0,1156,767,1168,775
0,1465,778,1473,784
0,867,792,873,799
0,1517,792,1521,796
0,1191,797,1199,802
0,1246,797,1250,800
0,1064,798,1082,809
0,605,802,620,815
0,591,805,600,811
0,674,806,678,810
0,600,809,606,813
0,715,808,724,816
0,1135,812,1140,817
0,854,815,868,824
0,704,818,712,823
0,907,821,916,827
0,466,830,470,834
0,617,838,620,844
0,1223,839,1230,846
0,945,851,952,857
0,1421,851,1426,858
0,1260,862,1268,871
0,900,869,909,882
0,780,872,798,887
0,1366,881,1387,898
0,972,884,979,892
0,1360,891,1368,899
0,810,892,824,916
0,556,894,562,898
0,612,894,618,897
0,1235,899,1240,904
0,682,914,696,928
0,1056,917,1065,926
0,460,934,465,938
0,1342,937,1349,941
0,894,950,900,956
0,446,953,450,959
0,924,953,948,968
0,706,959,711,963
0,618,960,623,965
0,1001,963,1004,966
0,1173,966,1177,968
0,447,968,451,971
0,934,969,938,971
0,1167,969,1176,975
0,766,970,770,972
0,406,973,410,977
0,1237,974,1244,982
0,657,1009,662,1014
0,1066,1008,1081,1022
0,1483,1008,1486,1012
0,1208,1015,1213,1024
0,507,1020,511,1023
0,803,1020,812,1025
0,570,1022,576,1028
0,1257,1022,1262,1027
0,1295,1039,1309,1054
0,653,1049,658,1054
0,1261,1048,1263,1053
0,514,1050,522,1055
0,648,1050,658,1063
0,974,1051,985,1062
0,1269,1050,1275,1054
0,736,1056,743,1063
0,546,1074,553,1082
0,1134,1082,1139,1085
0,813,1084,816,1087
0,396,1086,403,1095
0,1118,1086,1124,1095
0,992,1094,1009,1110
0,391,1101,396,1105
0,1080,1108,1092,1118
0,1203,1109,1220,1126
0,288,1112,291,1115
0,785,1112,794,1119
0,856,1123,863,1125
0,477,1131,490,1139
0,1193,1154,1199,1158
0,1231,1158,1241,1168
0,1020,1163,1023,1168
0,1224,1191,1228,1194
0,399,1200,403,1205
0,1216,1206,1220,1210
0,925,1208,930,1214
0,637,1210,641,1213
0,623,1215,625,1220
0,1038,1230,1048,1238
0,718,1235,722,1238
0,902,1245,907,1252
0,997,1255,1003,1260
0,1078,1254,1081,1258
0,686,1261,691,1264
0,921,1268,928,1273
0,1094,1307,1097,1310
0,1045,1326,1060,1340
0,980,1338,989,1345
0,915,1343,920,1349
0,918,1394,925,1406
0,1047,1394,1051,1397
0,629,1408,636,1416
0,986,1435,989,1438
0,1387,1457,1389,1461
